Gene name	GO term accession
mt-Nd4	GO:0042776
mt-Nd4	GO:0005747
mt-Nd4	GO:0015990
mt-Nd4	GO:0003954
mt-Nd4	GO:0001666
mt-Nd4	GO:0001701
mt-Nd4	GO:0021549
mt-Nd4	GO:0035094
mt-Nd4	GO:0045471
mt-Th	GO:0030533
mt-Th	GO:0006414
mt-Th	GO:0005739
mt-Ts2	GO:0030533
mt-Ts2	GO:0006414
mt-Ts2	GO:0005739
mt-Tl2	GO:0030533
mt-Tl2	GO:0006414
mt-Tl2	GO:0005739
mt-Nd5	GO:0008137
mt-Nd5	GO:0042773
mt-Nd5	GO:0005739
mt-Nd5	GO:0016020
mt-Nd5	GO:0016491
mt-Nd5	GO:0043005
mt-Nd5	GO:0005743
mt-Nd5	GO:0070469
mt-Nd5	GO:0032981
mt-Nd5	GO:0006120
mt-Nd5	GO:0009060
mt-Nd5	GO:0042776
mt-Nd5	GO:0005747
mt-Nd5	GO:0015990
mt-Nd5	GO:0003954
mt-Nd5	GO:0001666
mt-Nd5	GO:0010243
mt-Nd5	GO:0042542
mt-Nd6	GO:0008137
mt-Nd6	GO:0005739
mt-Nd6	GO:0016020
mt-Nd6	GO:0016491
mt-Nd6	GO:0005743
mt-Nd6	GO:0070469
mt-Nd6	GO:0031966
mt-Nd6	GO:0032981
mt-Nd6	GO:0006120
mt-Nd6	GO:0009060
mt-Nd6	GO:0042776
mt-Nd6	GO:0005747
mt-Nd6	GO:0035094
mt-Nd6	GO:0042220
mt-Nd6	GO:0042542
mt-Te	GO:0030533
mt-Te	GO:0006414
mt-Te	GO:0005739
mt-Cytb	GO:0009055
mt-Cytb	GO:0016020
mt-Cytb	GO:0016491
mt-Cytb	GO:0008121
mt-Cytb	GO:0022904
mt-Cytb	GO:0045275
mt-Cytb	GO:0005739
mt-Cytb	GO:0044877
mt-Cytb	GO:0046872
mt-Cytb	GO:0032991
mt-Cytb	GO:0005743
mt-Cytb	GO:0070469
mt-Cytb	GO:0051592
mt-Cytb	GO:0046686
mt-Cytb	GO:0046689
mt-Cytb	GO:0001666
mt-Cytb	GO:0006122
mt-Cytb	GO:0007584
mt-Cytb	GO:0009408
mt-Cytb	GO:0009410
mt-Cytb	GO:0009636
mt-Cytb	GO:0009725
mt-Cytb	GO:0010243
mt-Cytb	GO:0014070
mt-Cytb	GO:0015990
mt-Cytb	GO:0031100
mt-Cytb	GO:0033590
mt-Cytb	GO:0033762
mt-Cytb	GO:0042538
mt-Cytb	GO:0045333
mt-Cytb	GO:0045471
mt-Cytb	GO:0046688
mt-Cytb	GO:0055093
mt-Cytb	GO:0005750
mt-Tt	GO:0030533
mt-Tt	GO:0006414
mt-Tt	GO:0005739
mt-Tp	GO:0030533
mt-Tp	GO:0006414
mt-Tp	GO:0005739
	
	GO:0005634
	GO:0008654
	GO:0004609
	GO:0043066
	GO:0045892
	GO:0045596
	GO:0008284
Pramel39	GO:0043066
Pramel39	GO:0045892
Pramel39	GO:0045596
Pramel39	GO:0008284
Pramel39	GO:0005737
Pramel39	GO:1990756
Pramel39	GO:0031462
	GO:0003677
	GO:0003674
	GO:0008150
	GO:0005737
	GO:1990756
	GO:0031462
	GO:0005575
AA792892	GO:0003674
AA792892	GO:0008150
AA792892	GO:0005737
Csprs	GO:0016021
