Gene name	GO term accession
MT-ND6	GO:0005747
MT-ND6	GO:0035094
MT-ND6	GO:0042220
MT-ND6	GO:0042542
MT-TE	
MT-CYB	GO:0009055
MT-CYB	GO:0016020
MT-CYB	GO:0016491
MT-CYB	GO:0008121
MT-CYB	GO:0022904
MT-CYB	GO:0045275
MT-CYB	GO:0046872
MT-CYB	GO:0005739
MT-CYB	GO:0005743
MT-CYB	GO:1902600
MT-CYB	GO:0070469
MT-CYB	GO:0045333
MT-CYB	GO:0006122
MT-CYB	GO:0005750
MT-TT	GO:0030533
MT-TT	GO:0006412
MT-TP	
5S_rRNA	GO:0003735
5S_rRNA	GO:0005840
	
5_8S_rRNA	GO:0003735
5_8S_rRNA	GO:0005840
LINC01115	
LINC02109	
	GO:0006396
	GO:0005730
SNTG2	GO:0005198
INTS3	GO:0005634
INTS3	GO:0005737
INTS3	GO:0006281
INTS3	GO:0006974
INTS3	GO:0005515
INTS3	GO:0010212
INTS3	GO:0005654
INTS3	GO:0035861
INTS3	GO:0034243
INTS3	GO:0044818
INTS3	GO:0000724
INTS3	GO:0032039
INTS3	GO:0016180
INTS3	GO:0070876
INTS3	
KIR3DL2	
PCMTD2	GO:0036211
PCMTD2	GO:0004719
PCMTD2	GO:0005737
PCMTD2	GO:0005515
PCMTD2	GO:0006479
PCMTD2	
PCMTD2	GO:0006807
PCMTD2	GO:0043170
PCMTD2	GO:0044238
KIR3DL3	GO:0016020
KIR3DL1	
SBNO2	GO:0006355
SBNO2	GO:0050727
SBNO2	GO:0030154
SBNO2	GO:0048583
SBNO2	GO:0001503
SBNO2	GO:0005634
SBNO2	GO:0042393
SBNO2	GO:0045892
SBNO2	GO:0002281
SBNO2	GO:0045944
SBNO2	GO:0005575
SBNO2	GO:0071222
SBNO2	GO:0031490
SBNO2	GO:0030316
SBNO2	GO:0071354
SBNO2	GO:1990830
SBNO2	GO:0071348
SBNO2	
KIR2DL3	GO:0016020
PTCHD3	GO:0016021
PTCHD3	GO:0005886
PTCHD3	GO:0016020
PTCHD3	GO:0005783
PTCHD3	GO:0005789
PTCHD3	GO:0005929
PTCHD3	GO:0031514
PTCHD3	GO:0042995
PTCHD3	GO:0005515
PTCHD3	GO:0097225
LILRP2	
KIR3DP1	GO:0005886
KIR2DL4	GO:0005886
KIR2DL4	GO:0016020
KIR2DL4	GO:0005768
KIR2DL4	GO:0005515
KIR2DL4	GO:0031901
KIR2DL4	GO:0007165
KIR2DL4	GO:0045953
KIR2DL4	GO:0004888
KIR2DL4	GO:0006968
KIR2DL4	GO:0032394
KIR2DL4	GO:0002729
KIR2DL4	GO:2000774
KIR2DS2	GO:0005886
KIR2DS2	GO:0016020
KIR2DS2	GO:0006955
KIR2DS2	GO:0005515
KIR2DS2	GO:0004888
KIR2DS2	GO:0002222
LILRP1	
KIR2DL3	GO:0005886
KIR2DL3	GO:0005515
KIR2DL3	GO:0042802
KIR2DL3	GO:0006955
KIR2DL3	GO:0038023
KIR2DL3	GO:0003823
OPRL1	GO:0007186
OPRL1	GO:0016021
OPRL1	GO:0004930
OPRL1	GO:0004985
OPRL1	GO:0001626
OPRL1	GO:0005886
OPRL1	GO:0016020
OPRL1	GO:0007165
OPRL1	GO:0038003
ODAD2P1	
KIR3DL1	GO:0016020
FAM210CP	
TRIAP1P1	
U6	GO:0030621
U6	GO:0000244
U6	GO:0000353
U6	GO:0005688
U6	GO:0046540
FCAR	GO:0005576
FCAR	GO:0005886
